,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.0,1.0,276.98144264871564
1,Sirius,8.6,2.1,1.71,198.91967769990868
2,Canopus,310,15.0,71.0,0.8241860027238117
3,Alpha Centauri,4.4,1.1,1.2,211.58304646776892
4,Arcturus,37,1.1,26.0,0.4507094480970225
5,Vega,25,2.2,2.7,83.58836403664942
6,Capella,43,2.6,12.0,5.0010538256018116
7,Rigel,860,23.0,78.9,1.0233507272719249
8,Procyon,11.4,1.5,1.9,115.0892420978043
9,Betelgeuse,640,20.0,950.0,0.006138092911882896
10,Achernar,144,6.7,9.3,21.456534463480104
11,Hadar,390,10.5,8.6,39.322676417137835
12,Altair,17,1.8,1.8,153.8785792492865
13,Acrux,320,18.0,8.9,62.942380604429765
14,Aldebaran,65,1.5,44.0,0.21460339048195948
15,Antares,600,12.0,680.0,0.007188099722717535
16,Spica,260,11.43,7.47,56.73560622633004
17,Pollux,34,1.9,8.8,6.795774031928714
18,Fomalhaut,25,1.9,1.8,162.42738920758018
19,Deneb,"2,600",19.0,203.0,0.12770626344549973
20,Mimosa,350,16.0,8.4,62.807583367055706
21,Regulus,77,3.8,3.1,109.52439979865969
22,Adhara,430,12.5,14.0,17.66463282198442
23,Shaula,700,14.5,8.8,51.862486033140186
24,Castor,52,2.8,2.4,134.64375684312566
25,Gacrux,88,1.5,84.0,0.05888210940661472
26,Bellatrix,240,8.6,5.8,70.8097623893863
27,Elnath,130,5.0,4.2,78.50947920881964
28,Miaplacidus,110,3.5,6.8,20.965290857926142
29,Alnilam,"2,000",32.0,42.0,5.024606669364457
30,Gamma Velorum,"1,100",9.0,6.0,69.24536066217891
31,Alnair,101,4.0,3.4,95.8413296362338
32,Alioth,81,2.9,4.2,45.53549794111538
33,Alnitak,1050,33.0,20.0,22.850969018519045
34,Dubhe,120,4.25,30.0,1.307967923618935
35,Mirfak,590,8.5,68.0,0.509157063692492
36,Wezen,"1,600",17.0,200.0,0.11771711312570415
37,Sargas,270,5.7,26.0,2.3354944128663897
38,Kaus Australis,140,3.5,6.8,20.965290857926142
39,Avior,630,9.0,130.0,0.14750491028629828
40,Alkaid,104,6.1,3.4,146.15802769525652
41,Menkalinan,81,2.39,2.77,86.2758080947791
42,Atria,390,7.0,92.0,0.22907255417545008
43,Alhena,109,2.8,3.3,71.21653254512432
44,Peacock,180,5.9,4.8,70.928407622718
45,Alsephina[2],80,2.4,2.9,79.04345569047771
46,Mirzam,500,13.5,10.0,37.39249475757662
47,Polaris,430,5.4,39.0,0.983366068575322
48,Alphard,180,3.0,50.0,0.3323777311784588
49,Scheat,196,2.1,95.0,0.06444997557477042
50,Almaaz,653,15.0,140.0,0.211975593863813
51,Rasalgethi,360,2.8,280.0,0.009892194380311274
52,Tau Ceti,11.9,0.783,0.893,271.9628083977087
53,Delta Pavonis,19.92,0.991,1.22,184.41857677027494
54,Ran,10.48,0.82,0.74,414.7640302628685
55,V382 Carinae,"8,900",20.0,485.0,0.023550340537673776
56,Eta Carinae,"7,500",100.0,881.0,0.03568608093536208
